kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-15;GAS_BASE_S-S-16;65.50;65.50;65.50;65.50;35136.00;8.00;2301408.00;3.00;65.50;65.34;821304.00;187.00;1769976.00;403.00
2016-01-15;GAS_BASE_S-W-16;72.00;72.00;72.00;72.00;21840.00;5.00;1572480.00;1.00;71.75;72.00;1257984.00;288.00;1895712.00;434.00
2016-01-15;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-15;GAS_BASE_Y-17;70.50;70.50;70.50;70.50;43800.00;5.00;3087900.00;1.00;70.50;70.50;8672400.00;990.00;9548400.00;1090.00
2016-01-15;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.00;75.50;-;-;-;-
2016-01-18;GAS_BASE_W-04-16;-;71.25;-;-;-;-;-;-;71.00;71.50;29904.00;178.00;29904.00;178.00
2016-01-18;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;67.00;71.00;-;-;-;-
2016-01-18;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;66.00;-;-;-;-;-
2016-01-18;GAS_BASE_W-07-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-18;GAS_BASE_M-02-16;67.70;68.26;67.70;68.65;41760.00;60.00;2850120.00;8.00;68.65;67.90;9513624.00;13669.00;700872.00;1007.00
2016-01-18;GAS_BASE_M-03-16;-;66.40;-;-;-;-;-;-;66.15;66.65;9583957.00;12899.00;86188.00;116.00
2016-01-18;GAS_BASE_M-04-16;65.50;65.38;65.25;65.50;21600.00;30.00;1412280.00;3.00;65.50;65.50;261360.00;363.00;313200.00;435.00
2016-01-18;GAS_BASE_Q-2-16;64.50;64.38;64.25;64.50;19656.00;9.00;1265082.00;2.00;64.50;65.00;9238320.00;4230.00;1006824.00;461.00
2016-01-18;GAS_BASE_Q-3-16;63.00;63.00;63.00;63.00;11040.00;5.00;695520.00;1.00;63.00;64.50;8902656.00;4032.00;494592.00;224.00
2016-01-18;GAS_BASE_Q-4-16;69.50;69.33;69.25;69.50;33135.00;15.00;2297360.00;3.00;69.50;69.25;9469983.00;4287.00;1230413.00;557.00
2016-01-18;GAS_BASE_Q-1-17;-;71.50;-;-;-;-;-;-;72.00;72.00;10795.00;5.00;15113.00;7.00
2016-01-18;GAS_BASE_S-S-16;63.30;63.30;63.30;63.30;39528.00;9.00;2502122.40;2.00;63.50;63.30;838872.00;191.00;1809504.00;412.00
2016-01-18;GAS_BASE_S-W-16;70.75;70.42;70.25;70.75;65520.00;15.00;4613700.00;3.00;70.75;70.25;1323504.00;303.00;1961232.00;449.00
2016-01-18;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;63.00;-;-;-;-;-
2016-01-18;GAS_BASE_Y-17;68.00;68.00;68.00;68.00;52560.00;6.00;3574080.00;2.00;68.00;68.00;8724960.00;996.00;9600960.00;1096.00
2016-01-18;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;69.00;71.00;-;-;-;-
2016-01-19;GAS_BASE_W-04-16;72.25;72.25;72.25;72.25;1680.00;10.00;121380.00;1.00;72.25;72.25;31584.00;188.00;31584.00;188.00
2016-01-19;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;68.25;69.25;-;-;-;-
2016-01-19;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;67.75;-;-;-;-;-
