TransactionDate,TGEgasDA
2018-04-21,82.09302325581395
2018-04-22,84.11749999999999
2018-04-23,83.58622961104142
2018-04-24,83.20322344322344
2018-04-25,83.18550584996558
2018-04-26,83.66263221153847
2018-04-27,85.39272849462365
2018-04-28,85.85106382978724
2018-04-29,85.09817666126418
2018-04-30,86.79969481180062
2018-05-01,90.25587402689315
2018-05-02,91.51125941136209
2018-05-03,91.36621704475783
2018-05-04,91.18236966824644
2018-05-05,91.1863354037267
2018-05-06,93.88922155688623
2018-05-07,94.58967532467533
2018-05-08,93.02274024738344
2018-05-09,94.71576151121602
2018-05-10,96.22956730769232
2018-05-11,94.32914285714286
2018-05-12,96.24654088050315
2018-05-13,93.46758474576271
2018-05-14,97.7459860383944
2018-05-15,96.55906593406593
2018-05-16,99.72829059829061
2018-05-17,98.86087557603688
2018-05-18,102.01918238993713
2018-05-19,101.91904761904762
2018-05-20,98.85511363636364
2018-05-21,100.78817005545284
2018-05-22,101.56298076923076
2018-05-23,103.7793535620053
2018-05-24,104.28862612612615
2018-05-25,103.96151385927504
2018-05-26,100.99559748427673
2018-05-27,99.46539956803457
2018-05-28,100.24686447473935
2018-05-29,101.82512173128946
2018-05-30,102.59666356877324
2018-05-31,104.44998115577889
2018-06-01,103.86520467836256
2018-06-02,99.08593220338983
2018-06-03,95.7078313253012
2018-06-04,100.00848806366047
2018-06-05,102.06801242236025
2018-06-06,102.16973360655739
2018-06-07,100.66088362068966
2018-06-08,99.30621546961325
2018-06-09,98.61344537815125
2018-06-10,95.02035928143712
2018-06-11,99.67671641791046
2018-06-12,98.39144808743171
2018-06-13,98.92391304347824
2018-06-14,101.58229885057473
2018-06-15,103.82257555847569
2018-06-16,98.40983606557377
2018-06-17,96.81724137931035
2018-06-18,100.04203125000001
2018-06-19,100.71338593974177
2018-06-20,101.99023066485753
2018-06-21,101.334691195795
2018-06-22,99.79639546858908
2018-06-23,99.625
2018-06-24,99.15595238095239
2018-06-25,100.61288156288155
2018-06-26,100.01572052401747
2018-06-27,101.04837476099428
2018-06-28,102.2492105263158
2018-06-29,103.591472303207
2018-06-30,100.38497267759561
2018-07-01,101.54107142857141
2018-07-02,103.02915115413256
2018-07-03,105.15603161397671
2018-07-04,106.1127894736842
2018-07-05,105.23060165975103
2018-07-06,104.84058603491273
2018-07-07,103.715
2018-07-08,100.056
2018-07-09,106.13333333333334
2018-07-10,105.5094964028777
2018-07-11,107.73337579617836
2018-07-12,105.908768873403
2018-07-13,104.86473132372215
2018-07-14,101.05333333333333
2018-07-15,98.20222929936305
2018-07-16,103.09701754385965
2018-07-17,105.3546853146853
2018-07-18,101.54587209302325
2018-07-19,101.92106299212595
2018-07-20,101.92106299212595
2018-07-21,100.86666666666666
2018-07-22,97.46696682464453
2018-07-23,103.4992349726776
2018-07-24,103.44951690821256
2018-07-25,104.11109530583215
2018-07-26,103.75027624309392
2018-07-27,102.25936920222634
2018-07-28,99.51606060606062
2018-07-29,97.71039426523298
2018-07-30,102.11187335092347
2018-07-31,101.4482909090909
2018-08-01,101.62656249999999
2018-08-02,100.41917647058823
2018-08-03,100.56381909547738
2018-08-04,97.6778494623656
2018-08-05,96.56619672131148
2018-08-06,102.10674418604651
2018-08-07,101.8615909090909
2018-08-08,102.12941176470589
2018-08-09,103.3581447963801
2018-08-10,102.23442622950819
2018-08-11,100.40350877192982
2018-08-12,101.67463235294117
2018-08-13,104.61522988505747
2018-08-14,105.0992125984252
2018-08-15,103.14247391952311
2018-08-16,106.05434782608695
2018-08-17,106.8606227106227
2018-08-18,106.72619047619048
2018-08-19,106.17479674796748
2018-08-20,110.82177700348431
2018-08-21,110.16761603375528
2018-08-22,113.30419847328244
2018-08-23,113.53513139695711
2018-08-24,112.94817073170731
2018-08-25,111.91233766233766
2018-08-26,109.87863157894738
2018-08-27,114.39286549707602
2018-08-28,113.9016748768473
2018-08-29,116.63691634241245
2018-08-30,117.4880742913001
2018-08-31,121.12126984126985
2018-09-01,112.37950191570881
2018-09-02,111.23642750373692
2018-09-03,113.47561919504643
2018-09-04,115.99544491525424
2018-09-05,121.20346756152125
2018-09-06,121.94782178217824
2018-09-07,123.88769230769233
2018-09-08,121.4090909090909
2018-09-09,120.82236607142855
2018-09-10,125.27801242236025
2018-09-11,128.02213279678068
2018-09-12,126.68268292682926
2018-09-13,126.38250000000001
2018-09-14,123.58842504743832
2018-09-15,116.44265486725664
2018-09-16,118.39225490196078
2018-09-17,121.84027459954234
2018-09-18,124.88157894736842
2018-09-19,123.48262955854126
2018-09-20,123.5291932059448
2018-09-21,127.41153212520594
2018-09-22,124.71747967479675
2018-09-23,125.2023611111111
2018-09-24,128.7593388429752
2018-09-25,135.06383333333335
2018-09-26,135.5603088101726
2018-09-27,131.54733895705525
2018-09-28,127.15918230563001
2018-09-29,124.2578125
2018-09-30,122.78082352941175
2018-10-01,120.9942748091603
2018-10-02,115.69139650872818
2018-10-03,122.77826617826616
2018-10-04,123.94925241864554
2018-10-05,123.23398969072167
2018-10-06,115.57020202020203
2018-10-07,115.74437086092716
2018-10-08,119.9672607879925
2018-10-09,119.49698331193838
2018-10-10,118.65653446647781
2018-10-11,116.83134453781511
2018-10-12,110.82090608465607
2018-10-13,109.51927194860814
2018-10-14,109.54957291031114
2018-10-15,110.92209639953543
2018-10-16,114.67651951375558
2018-10-17,113.05886048210374
2018-10-18,109.54085690515805
2018-10-19,115.03315254237287
2018-10-20,113.73255813953489
2018-10-21,117.97900763358778
2018-10-22,120.45222734254992
2018-10-23,119.63671954964175
2018-10-24,117.58396860986545
2018-10-25,117.81224958263773
2018-10-26,117.57940391459074
2018-10-27,115.26197183098591
2018-10-28,115.05959677419352
2018-10-29,116.86858925869893
2018-10-30,115.27297569153396
2018-10-31,113.06165413533836
2018-11-01,101.69602027027028
2018-11-02,101.44331810394063
2018-11-03,101.0877802690583
2018-11-04,102.18810916179338
2018-11-05,103.6836797649651
2018-11-06,100.87131642512077
2018-11-07,101.06085134539039
2018-11-08,103.06672866520786
2018-11-09,107.0826239067055
2018-11-10,103.52717391304348
2018-11-11,101.06192250372578
2018-11-12,104.23874243733793
2018-11-13,109.11977726574501
2018-11-14,115.19792477302205
2018-11-15,119.33433734939763
2018-11-16,121.06063360881542
2018-11-17,123.61977911646586
2018-11-18,120.64410404624277
2018-11-19,123.00360938883969
2018-11-20,115.5559798226842
2018-11-21,116.23878404669263
2018-11-22,114.994445412944
2018-11-23,114.40762899262899
2018-11-24,117.63116178067317
2018-11-25,117.3759149940968
2018-11-26,117.5
